node_id,x_coord,y_coord
475,-111.9367477,33.4172653
476,-111.936652,33.4173873
477,-111.9367709,33.417401
478,-111.9396173,33.4174516
479,-111.9381365,33.4174674
480,-111.9367882,33.4174799
481,-111.940028,33.4190552
482,-111.9366336,33.4202834
483,-111.9400474,33.4204936
484,-111.9417733,33.4224532
485,-111.94178,33.4226612
486,-111.9428368,33.4232242
487,-111.942282,33.4233267
488,-111.9371119,33.4271478
489,-111.9388547,33.4285369
490,-111.9398856,33.4295043
491,-111.9391424,33.429559
492,-111.9398838,33.4297536
493,-111.9402012,33.4298339
494,-111.9408325,33.4303547
495,-111.9414091,33.4309672
496,-111.9415213,33.4312509
497,-111.9330857,33.4313634
498,-111.9346169,33.431846
499,-111.9410003,33.4319134
500,-111.9187854,33.4172118
501,-111.9177396,33.4176616
502,-111.918685,33.4188785
503,-111.935703,33.4258032
504,-111.9364214,33.4257947
505,-111.9358889,33.4258161
506,-111.9428146,33.4314253
507,-111.9428188,33.4314908
508,-111.9399088,33.414649
512,-111.9408253,33.4147456
513,-111.9405582,33.4147673
515,-111.9397819,33.4174542
516,-111.9397865,33.4176185
518,-111.9090764,33.4319897
519,-111.9400873,33.4147093
520,-111.9395362,33.4159003
521,-111.9398004,33.4190634
522,-111.9398538,33.4218932
523,-111.938246,33.4218977
524,-111.93806,33.4218977
525,-111.938145,33.422052
526,-111.9201029,33.408953
527,-111.9209485,33.408957
528,-111.9178224,33.409508
529,-111.9169767,33.4095429
530,-111.9200665,33.4095444
531,-111.9201143,33.4095581
532,-111.911259,33.4097399
533,-111.910407,33.4097369
534,-111.9095333,33.4097338
535,-111.9166147,33.4098049
536,-111.9200582,33.4099534
537,-111.9155515,33.4100767
538,-111.9178307,33.4101775
539,-111.9195225,33.4101759
540,-111.9152791,33.4104507
541,-111.9130874,33.4104626
542,-111.9128452,33.4104639
543,-111.9117818,33.4104819
544,-111.9169338,33.4106723
545,-111.917559,33.410678
546,-111.9155553,33.4106968
547,-111.909546,33.4107609
548,-111.9195464,33.4107488
549,-111.9178349,33.4107533
550,-111.9104038,33.4108331
551,-111.9209479,33.4087908
552,-111.9176934,33.4090761
553,-111.920934,33.4099206
554,-111.9223362,33.4101607
555,-111.9208613,33.4107363
556,-111.9201669,33.4107447
557,-111.926503,33.4097547
558,-111.9262819,33.4100299
559,-111.9262991,33.4129511
560,-111.9262929,33.4146131
561,-111.9093235,33.4146284
562,-111.9089322,33.4146959
563,-111.9093203,33.414706
564,-111.9435395,33.4147236
565,-111.9264869,33.4146891
566,-111.9089346,33.4147607
567,-111.9264799,33.4148394
568,-111.9089373,33.4148331
569,-111.9093148,33.4148379
570,-111.9262852,33.4149352
571,-111.9435562,33.4156871
572,-111.928751,33.4166318
573,-111.9292738,33.4166437
574,-111.9263029,33.4167356
575,-111.9261395,33.4168327
576,-111.9264704,33.4168349
577,-111.9263029,33.4169296
578,-111.9262975,33.4190282
579,-111.9263019,33.4203615
580,-111.9435725,33.422456
581,-111.9436145,33.4254447
582,-111.9279378,33.4166216
